2025-26 NBA Season,,,,,,,,,Data Sources,,,,,,
Team,Payroll,Revenue,Valuation ($B),Wins,Losses,Win %,Playoff Result,,Payroll (Total Cap Allocation),Spotrac,,,,,
Atlanta Hawks,"$193,255,583 ","$477,000,000","$5,000,000,000",46,36,56.1%,First Round,,Revenue,Forbes,,,,,
Boston Celtics,"$194,526,296 ","$458,000,000","$6,700,000,000",56,26,68.3%,First Round,,Valuation,Forbes,,,,,
Brooklyn Nets,"$150,960,352 ","$402,000,000","$5,600,000,000",20,62,24.4%,Missed Playoffs,,Win/Loss  Record,ESPN,,,,,
Charlotte Hornets,"$183,806,358 ","$328,000,000","$3,800,000,000",44,38,53.7%,Missed Playoffs,,Win %,ESPN,,,,,
Chicago Bulls,"$187,673,271 ","$434,000,000","$6,000,000,000",31,51,37.8%,Missed Playoffs,,,,,,,,
Cleveland Cavaliers,"$226,181,970 ","$440,000,000","$4,800,000,000",52,30,63.4%,Conference Finals,,,,,,,,
Dallas Mavericks,"$200,372,430 ","$407,000,000","$5,100,000,000",26,56,31.7%,Missed Playoffs,,,,,,,,
Denver Nuggets,"$200,743,895 ","$364,000,000","$4,600,000,000",54,28,65.9%,First Round,,,,,,,,
Detroit Pistons,"$193,082,507 ","$321,000,000","$3,650,000,000",60,22,73.2%,Conference Semifinals,,,,,,,,
Golden State Warriors,"$234,222,725 ","$880,000,000","$11,000,000,000",37,45,45.1%,Missed Playoffs,,,,,,,,
Houston Rockets,"$201,412,484 ","$467,000,000","$5,900,000,000",52,30,63.4%,First Round,,,,,,,,
Indiana Pacers,"$191,900,207 ","$342,000,000","$4,200,000,000",19,63,23.2%,Missed Playoffs,,,,,,,,
Los Angeles Clippers,"$199,054,230 ","$569,000,000","$7,500,000,000",42,40,51.2%,Missed Playoffs,,,,,,,,
Los Angeles Lakers,"$211,399,497 ","$551,000,000","$10,000,000,000",53,29,64.6%,Conference Semifinals,,,,,,,,
Memphis Grizzlies,"$157,650,285 ","$306,000,000","$3,500,000,000",25,57,30.5%,Missed Playoffs,,,,,,,,
Miami Heat,"$197,952,062 ","$417,000,000","$5,700,000,000",43,39,52.4%,Missed Playoffs,,,,,,,,
Milwaukee Bucks,"$181,255,390 ","$355,000,000","$4,300,000,000",32,50,39.0%,Missed Playoffs,,,,,,,,
Minnesota Timberwolves,"$228,841,297 ","$320,000,000","$3,600,000,000",49,33,59.8%,Conference Semifinals,,,,,,,,
New Orleans Pelicans,"$207,453,274 ","$302,000,000","$3,550,000,000",26,56,31.7%,Missed Playoffs,,,,,,,,
New York Knicks,"$209,750,538 ","$532,000,000","$9,750,000,000",53,29,64.6%,NBA Champion,,,,,,,,
Oklahoma City Thunder,"$188,057,857 ","$357,000,000","$4,350,000,000",64,18,78.0%,Conference Finals,,,,,,,,
Orlando Magic,"$194,063,614 ","$318,000,000","$3,900,000,000",45,37,54.9%,First Round,,,,,,,,
Philadelphia 76ers,"$199,898,431 ","$472,000,000","$5,450,000,000",45,37,54.9%,Conference Semifinals,,,,,,,,
Phoenix Suns,"$207,796,989 ","$455,000,000","$5,425,000,000",45,37,54.9%,First Round,,,,,,,,
Portland Trail Blazers,"$197,927,822 ","$361,000,000","$4,250,000,000",42,40,51.2%,First Round,,,,,,,,
Sacramento Kings,"$213,853,369 ","$354,000,000","$4,450,000,000",22,60,26.8%,Missed Playoffs,,,,,,,,
San Antonio Spurs,"$183,990,669 ","$401,000,000","$4,400,000,000",62,20,75.6%,NBA Finals (Runner-Up),,,,,,,,
Toronto Raptors,"$194,966,020 ","$380,000,000","$5,400,000,000",46,36,56.1%,First Round,,,,,,,,
Utah Jazz,"$173,117,343 ","$340,000,000","$4,100,000,000",22,60,26.8%,Missed Playoffs,,,,,,,,
Washington Wizards,"$232,033,397 ","$389,000,000","$4,700,000,000",17,65,20.7%,Missed Playoffs,,,,,,,,
